Source Account,Tweets,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,"Flooding is headed to Georgetown, South Carolina, and forecasters don't know how bad it will be… https://t.co/K5KbWP2HKc",Mon Sep 24 18:29:05 +0000 2018,0.431,0.151,0.0,0.849,32
CNN,"""The Bachelor: Vietnam"" goes viral https://t.co/iJAn2pHgtj https://t.co/vyZrKXDCfk",Mon Sep 24 18:22:03 +0000 2018,0.0,0.0,0.0,1.0,33
CNN,Secretary of State Mike Pompeo and US Ambassador to the United Nations Nikki Haley say they've never discussed invo… https://t.co/fjAExdOT54,Mon Sep 24 18:15:04 +0000 2018,0.4215,0.128,0.0,0.872,34
CNN,"Demonstrators gathered outside of the office of Sen. Susan Collins, who is viewed as potential swing vote, to prote… https://t.co/NXd9z9IVri",Mon Sep 24 18:08:00 +0000 2018,0.0,0.0,0.0,1.0,35
CNN,"Iran accuses Saudi Arabia, UAE of financing military parade attackers https://t.co/CooI7CXnS8 https://t.co/x4zhAjEekk",Mon Sep 24 18:01:06 +0000 2018,-0.7269,0.0,0.379,0.621,36
CNN,"Time is running out for Sears, CEO warns https://t.co/n8HUwiF459 https://t.co/EHJlaXW6ir",Mon Sep 24 17:54:08 +0000 2018,-0.1027,0.0,0.135,0.865,37
CNN,"""Amazing"" treatment helps paralyzed woman walk again https://t.co/kd1RU9Np7L https://t.co/xPJU4EOenS",Mon Sep 24 17:47:07 +0000 2018,0.3818,0.245,0.0,0.755,38
CNN,Fall TV is underway. Here's a preview of some of this week's new network series premieres: https://t.co/1uRHEGS8Qd https://t.co/EM4jWuOOh8,Mon Sep 24 17:40:07 +0000 2018,0.0,0.0,0.0,1.0,39
CNN,Kenyan governor charged in murder of pregnant student https://t.co/IzwK0pBEry https://t.co/wD62n8iOdA,Mon Sep 24 17:33:05 +0000 2018,-0.7579,0.0,0.448,0.552,40
CNN,President Trump's chance to hide from his problems https://t.co/0xG2EMFDWG (via @CNNOpinion) https://t.co/YckuAgwsV7,Mon Sep 24 17:26:08 +0000 2018,-0.34,0.13,0.286,0.584,41
CNN,Nigeria launches search and rescue mission with Interpol for kidnapped crew https://t.co/RImNZ27Brq https://t.co/HUG2YXH3VO,Mon Sep 24 17:20:10 +0000 2018,0.5106,0.216,0.0,0.784,42
CNN,Protests at the US Capitol led to arrests as demonstrators gathered to oppose embattled Supreme Court nominee Brett… https://t.co/TtNqvOabdt,Mon Sep 24 17:15:05 +0000 2018,-0.0516,0.148,0.197,0.656,43
CNN,JUST IN: President Trump will meet with Deputy Attorney General Rod Rosenstein on Thursday. The White House says Ro… https://t.co/h3AWYavJ0N,Mon Sep 24 17:10:08 +0000 2018,0.0,0.0,0.0,1.0,44
CNN,The police officer charged with manslaughter in the shooting of a man inside his Dallas apartment has been fired fr… https://t.co/WJIbfXqzUT,Mon Sep 24 17:05:04 +0000 2018,-0.6597,0.0,0.231,0.769,45
CNN,Weight Watchers is changing its name to WW https://t.co/yIGWNOyGE4 https://t.co/gFsEBKK2Zm,Mon Sep 24 16:58:04 +0000 2018,0.0,0.0,0.0,1.0,46
CNN,"Andrew McCabe, the former deputy director of the FBI, says he's concerned about the fate of special counsel Robert… https://t.co/4UQjFTa44y",Mon Sep 24 16:51:02 +0000 2018,0.4019,0.124,0.0,0.876,47
CNN,SiriusXM is buying Pandora in a $3.5 billion all-stock deal. The deal will create the world's largest audio enterta… https://t.co/F1Xk92DbeK,Mon Sep 24 16:44:00 +0000 2018,0.2732,0.104,0.0,0.896,48
CNN,"Deputy Attorney General Rod Rosenstein had expected to stay on through the midterms, sources say… https://t.co/cuAFC8qdJ7",Mon Sep 24 16:37:04 +0000 2018,0.0,0.0,0.0,1.0,49
CNN,"President Trump says the Kavanaugh hearings are ""totally political."" He's right, writes CNN's Chris Cillizza.… https://t.co/qovRCPnD4C",Mon Sep 24 16:30:07 +0000 2018,0.0,0.0,0.0,1.0,50
CNN,"Bill Cosby has a mental disorder and is likely to reoffend, state argues https://t.co/dbKiUG0yVX https://t.co/0zJLXeBcVg",Mon Sep 24 16:23:05 +0000 2018,-0.6486,0.0,0.306,0.694,51
CNN,Michael Kors could buy Versace in $2 billion deal https://t.co/34yiQtLHs9 https://t.co/QlQuF5BxpD,Mon Sep 24 16:16:05 +0000 2018,0.0,0.0,0.0,1.0,52
CNN,"President Trump dismisses the allegations against Supreme Court nominee Brett Kavanaugh, calling them ""totally poli… https://t.co/vxBXIUTvLU",Mon Sep 24 16:09:01 +0000 2018,0.5574,0.194,0.0,0.806,53
CNN,Milan Fashion Week is an Instagram-worthy extravaganza https://t.co/kZIhflfB3U https://t.co/3hEfeDB3rS,Mon Sep 24 16:02:06 +0000 2018,0.0,0.0,0.0,1.0,54
CNN,"White House counselor Kellyanne Conway, responding to the latest allegation against Brett Kavanaugh, says ""it's sta… https://t.co/7o9DJRuVcU",Mon Sep 24 15:55:07 +0000 2018,0.0,0.0,0.0,1.0,55
CNN,"North West, the 5-year-old daughter of Kanye West and Kim Kardashian West, makes her runway debut… https://t.co/Yy0hnI8PwR",Mon Sep 24 15:48:06 +0000 2018,0.0,0.0,0.0,1.0,56
CNN,"President Trump's ""America First"" UN agenda likely obscured by Kavanaugh allegations https://t.co/MZiIfXnypx https://t.co/SzDkCpi3QY",Mon Sep 24 15:41:03 +0000 2018,0.0,0.0,0.0,1.0,57
CNN,Carrie Underwood just became the first female country artist to have four No. 1 albums at the top of the all-genre… https://t.co/OuriaNNdmS,Mon Sep 24 15:34:01 +0000 2018,-0.1027,0.078,0.096,0.826,58
CNN,"Ferocious winds caused this flight to abort a landing at Birmingham Airport in England, turning the plane sideways… https://t.co/osfe5RR31l",Mon Sep 24 15:27:00 +0000 2018,-0.1027,0.0,0.076,0.924,59
CNN,"""Murphy Brown,"" ""Magnum P.I."" get very different makeovers https://t.co/yffVwlsXnL https://t.co/Oa886wM9kW",Mon Sep 24 15:20:05 +0000 2018,0.0,0.0,0.0,1.0,60
CNN,"British Prime Minister Theresa May is surrounded by hopeless enemies, writes Jane Merrick for @CNNOpinion… https://t.co/PiJzcDCY1b",Mon Sep 24 15:13:04 +0000 2018,-0.7351,0.0,0.307,0.693,61
CNN,Lawyers argue over whether it's constitutional to make Bill Cosby register as a sex offender https://t.co/BC5aAcrgjU https://t.co/h8b50PtbT4,Mon Sep 24 15:07:06 +0000 2018,-0.5994,0.0,0.259,0.741,62
CNN,"""I am sick of all the chaos and the nastiness of our politics. It's exhausting, and frankly, it's depressing."" Form… https://t.co/botxi2VNYz",Mon Sep 24 15:02:00 +0000 2018,-0.891,0.0,0.406,0.594,63
CNN,"JUST IN: Deputy Attorney General Rod Rosenstein expects to be fired Monday, a source says https://t.co/jNkSDOtVX8 https://t.co/zTLMG686FD",Mon Sep 24 14:57:05 +0000 2018,-0.5574,0.0,0.194,0.806,64
CNN,"What you need to know about Andrea Constand, the woman Bill Cosby was convicted of assaulting… https://t.co/QKofnEGH2M",Mon Sep 24 14:52:04 +0000 2018,0.0,0.0,0.0,1.0,65
CNN,"President Trump, arriving at the United Nations, says he and North Korean leader Kim Jong Un will meet for a second… https://t.co/u2hZArn7tA",Mon Sep 24 14:45:00 +0000 2018,0.4215,0.123,0.0,0.877,66
CNN,"""It's been unbelievable, to get to this level again, I didn't know if that would happen again and lo and behold, he… https://t.co/TCt4rZWwbL",Mon Sep 24 14:38:52 +0000 2018,0.2023,0.079,0.0,0.921,67
CNN,A presumption of perfection derails President Trump's sure bet https://t.co/QTyfXrFTI8 https://t.co/6WzWNZft5d,Mon Sep 24 14:31:04 +0000 2018,0.5719,0.392,0.15,0.458,68
